Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,31.438000,31.558000,31.284000,31.323000,31.323000,55292742
2005-07-05,31.250000,31.719000,31.216000,31.651000,31.651000,79288691
2005-07-06,31.583000,31.796000,31.441000,31.498000,31.498000,79331938
2005-07-07,31.199000,31.634000,31.173000,31.608000,31.608000,120216319
2005-07-08,31.626000,32.248000,31.551000,32.214000,32.214000,101469272
2005-07-11,32.299000,32.547000,32.240000,32.513000,32.513000,96455481
2005-07-12,32.513000,32.803000,32.419000,32.666000,32.666000,86105577
2005-07-13,32.692000,32.777000,32.555000,32.743000,32.743000,72552503
2005-07-14,32.965000,33.161000,32.854000,33.067000,33.067000,103210918
2005-07-15,33.135000,33.263000,32.964000,33.169000,33.169000,67732850
2005-07-18,33.058000,33.169000,32.997000,33.035000,33.035000,59117177
2005-07-19,33.195000,33.430000,33.127000,33.417000,33.417000,78687487
2005-07-20,33.212000,33.749000,33.178000,33.655000,33.655000,91982299
2005-07-21,33.741000,33.854000,33.442000,33.664000,33.664000,127792685
2005-07-22,33.655000,33.766000,33.451000,33.621000,33.621000,71717398
2005-07-25,33.638000,33.797000,33.434000,33.493000,33.493000,52058534
2005-07-26,33.570000,33.715000,33.425000,33.621000,33.621000,69662887
2005-07-27,33.638000,33.911000,33.456000,33.877000,33.877000,83631468
2005-07-28,33.903000,34.049000,33.809000,34.039000,34.039000,67122748
2005-07-29,34.005000,34.048000,33.707000,33.754000,33.754000,74758605
2005-08-01,33.809000,33.971000,33.707000,33.817000,33.817000,59877291
2005-08-02,33.852000,34.235000,33.821000,34.184000,34.184000,79724703
2005-08-03,34.022000,34.227000,34.014000,34.167000,34.167000,61975627
2005-08-04,34.014000,34.065000,33.749000,33.837000,33.837000,72061763
2005-08-05,33.783000,33.937000,33.627000,33.672000,33.672000,71262794
2005-08-08,33.707000,33.783000,33.383000,33.425000,33.425000,64634750
2005-08-09,33.579000,33.766000,33.524000,33.647000,33.647000,64615442
2005-08-10,33.732000,33.847000,33.238000,33.357000,33.357000,104471008
2005-08-11,33.374000,33.725000,33.348000,33.632000,33.632000,93638060
2005-08-12,33.365000,33.536000,33.238000,33.442000,33.442000,86470098
2005-08-15,33.383000,33.800000,33.329000,33.643000,33.643000,63066320
2005-08-16,33.519000,33.545000,33.041000,33.101000,33.101000,94913030
2005-08-17,33.195000,33.408000,33.084000,33.297000,33.297000,75633803
2005-08-18,33.152000,33.348000,33.067000,33.129000,33.129000,72727102
2005-08-19,33.169000,33.264000,33.084000,33.110000,33.110000,52177680
2005-08-22,33.161000,33.417000,32.919000,33.127000,33.127000,93266714
2005-08-23,33.127000,33.195000,32.930000,33.033000,33.033000,57532051
2005-08-24,32.964000,33.417000,32.803000,32.837000,32.837000,95038020
2005-08-25,32.862000,33.000000,32.828000,32.912000,32.912000,52338697
2005-08-26,32.862000,32.922000,32.640000,32.802000,32.802000,63884156
2005-08-29,32.632000,33.135000,32.632000,33.058000,33.058000,74971199
2005-08-30,32.888000,32.969000,32.683000,32.939000,32.939000,87506257
2005-08-31,32.956000,33.272000,32.818000,33.246000,33.246000,93451985
2005-09-01,33.255000,33.391000,33.075000,33.195000,33.195000,74917176
2005-09-02,33.246000,33.290000,33.041000,33.067000,33.067000,53270335
2005-09-06,33.212000,33.613000,33.178000,33.553000,33.553000,78129723
2005-09-07,33.519000,33.672000,33.442000,33.612000,33.612000,57470407
2005-09-08,33.510000,33.749000,33.493000,33.604000,33.604000,73544572
2005-09-09,33.613000,33.852000,33.527000,33.791000,33.791000,75389962
2005-09-12,33.800000,33.999000,33.758000,33.886000,33.886000,51700997
2005-09-13,33.842000,34.039000,33.724000,33.800000,33.800000,66186141
2005-09-14,33.817000,33.843000,33.391000,33.417000,33.417000,98671668
2005-09-15,33.485000,33.553000,33.306000,33.400000,33.400000,80476183
2005-09-16,33.476000,33.655000,33.356000,33.604000,33.604000,71052746
2005-09-19,33.536000,33.587000,33.186000,33.340000,33.340000,73395504
2005-09-20,33.400000,33.725000,33.100000,33.203000,33.203000,115514289
2005-09-21,33.110000,33.152000,32.811000,32.837000,32.837000,116424060
2005-09-22,32.785000,33.033000,32.615000,32.956000,32.956000,119165195
2005-09-23,32.837000,33.161000,32.760000,33.050000,33.050000,70170150
2005-09-26,33.238000,33.289000,32.879000,33.058000,33.058000,69345114
2005-09-27,33.093000,33.178000,32.845000,32.982000,32.982000,64094331
2005-09-28,33.067000,33.220000,32.886000,32.990000,32.990000,72059497
2005-09-29,32.948000,33.443000,32.790000,33.434000,33.434000,117774063
2005-09-30,33.400000,33.672000,33.374000,33.655000,33.655000,79260099
2005-10-03,33.732000,33.903000,33.698000,33.741000,33.741000,81694217
2005-10-04,33.792000,34.014000,33.510000,33.519000,33.519000,85379643
2005-10-05,33.527000,33.553000,33.033000,33.058000,33.058000,106227405
2005-10-06,33.033000,33.144000,32.342000,32.623000,32.623000,162273346
2005-10-07,32.760000,32.896000,32.563000,32.700000,32.700000,91132545
2005-10-10,32.658000,32.803000,32.461000,32.521000,32.521000,64031810
2005-10-11,32.589000,32.615000,32.240000,32.359000,32.359000,114769611
2005-10-12,32.206000,32.458000,31.924000,31.973000,31.973000,146123799
2005-10-13,31.958000,32.333000,31.839000,32.223000,32.223000,138583649
2005-10-14,32.299000,32.470000,32.103000,32.461000,32.461000,131480594
2005-10-17,32.461000,32.572000,32.257000,32.564000,32.564000,64214160
2005-10-18,32.530000,32.564000,32.333000,32.333000,32.333000,88096078
2005-10-19,32.188000,32.983000,32.078000,32.982000,32.982000,132942280
2005-10-20,32.982000,33.135000,32.495000,32.671000,32.671000,132676911
2005-10-21,33.006000,33.144000,32.691000,32.879000,32.879000,110053023
2005-10-24,33.017000,33.417000,32.809000,33.400000,33.400000,111785120
2005-10-25,33.331000,33.425000,33.067000,33.272000,33.272000,86963965
2005-10-26,33.229000,33.497000,33.058000,33.101000,33.101000,90028088
2005-10-27,33.075000,33.093000,32.436000,32.436000,32.436000,135443141
2005-10-28,32.555000,32.745000,32.342000,32.685000,32.685000,95367478
2005-10-31,32.777000,33.306000,32.768000,33.152000,33.152000,115430994
2005-11-01,33.058000,33.272000,33.016000,33.127000,33.127000,73633507
2005-11-02,33.029000,33.655000,33.016000,33.559000,33.559000,101555811
2005-11-03,33.894000,34.193000,33.843000,34.065000,34.065000,137053991
2005-11-04,34.111000,34.312000,33.980000,34.184000,34.184000,100944407
2005-11-07,34.287000,34.363000,34.073000,34.227000,34.227000,65366511
2005-11-08,34.171000,34.415000,34.107000,34.235000,34.235000,78859604
2005-11-09,34.227000,34.397000,34.142000,34.252000,34.252000,72458775
2005-11-10,34.270000,34.705000,34.048000,34.628000,34.628000,120763063
2005-11-11,34.773000,34.899000,34.696000,34.722000,34.722000,80107131
2005-11-14,34.764000,34.849000,34.630000,34.725000,34.725000,53652320
2005-11-15,34.739000,34.884000,34.440000,34.560000,34.560000,79543420
2005-11-16,34.670000,34.781000,34.508000,34.771000,34.771000,65912623
2005-11-17,34.892000,35.242000,34.841000,35.231000,35.231000,94448324
2005-11-18,35.395000,35.524000,34.990000,35.353000,35.353000,108820140
2005-11-21,35.308000,35.464000,35.174000,35.437000,35.437000,69731364
2005-11-22,35.353000,35.711000,35.276000,35.566000,35.566000,88819199
2005-11-23,35.592000,35.839000,35.574000,35.651000,35.651000,64101105
2005-11-25,35.685000,35.771000,35.592000,35.728000,35.728000,22930184
2005-11-28,35.788000,35.822000,35.395000,35.429000,35.429000,74716175
2005-11-29,35.617000,35.694000,35.259000,35.261000,35.261000,77444739
2005-11-30,35.216000,35.387000,35.130000,35.174000,35.174000,88044400
2005-12-01,35.404000,35.864000,35.395000,35.828000,35.828000,91914037
2005-12-02,35.771000,35.935000,35.711000,35.913000,35.913000,72929167
2005-12-05,35.864000,35.873000,35.505000,35.651000,35.651000,61585506
2005-12-06,35.856000,36.086000,35.737000,35.767000,35.767000,81509365
2005-12-07,35.830000,35.847000,35.505000,35.702000,35.702000,83885425
2005-12-08,35.788000,35.822000,35.199000,35.447000,35.447000,112043175
2005-12-09,35.456000,35.626000,35.293000,35.579000,35.579000,56531746
2005-12-12,35.711000,35.771000,35.549000,35.708000,35.708000,44869979
2005-12-13,35.677000,36.002000,35.617000,35.860000,35.860000,76611599
2005-12-14,35.796000,35.904000,35.573000,35.736000,35.736000,73581550
2005-12-15,35.822000,35.882000,35.487000,35.796000,35.796000,72678244
2005-12-16,35.799000,35.859000,35.524000,35.551000,35.551000,63742939
2005-12-19,35.645000,35.662000,34.970000,34.987000,34.987000,75415030
2005-12-20,35.004000,35.183000,34.841000,35.012000,35.012000,70257635
2005-12-21,35.072000,35.406000,35.012000,35.166000,35.166000,68934959
2005-12-22,35.149000,35.450000,35.038000,35.394000,35.394000,59156975
2005-12-23,35.491000,35.559000,35.311000,35.400000,35.400000,38000400
2005-12-27,35.483000,35.636000,35.029000,35.087000,35.087000,55669207
2005-12-28,35.106000,35.252000,34.944000,35.046000,35.046000,50315397
2005-12-29,35.081000,35.158000,34.756000,34.816000,34.816000,47308168
2005-12-30,34.670000,34.696000,34.508000,34.552000,34.552000,60052840
2006-01-03,34.747000,35.474000,34.337000,35.320000,35.320000,109422192
2006-01-04,35.397000,35.688000,35.325000,35.688000,35.688000,92780152
